사업자 현황 (6월/100대 생활업종),,,,,,,,,,,,,,,,
*조회년월,,2019년 6월,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"(단위 : 인원수, %)",,,,,,,,,,,,,
구분,,, 사업자 수,,,,,,,,,,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③),,,,,,,,,
업종전체,전라남도,무안군,"3,578","3,581",99.92%,"3,412",104.87%,,,,,,,,,
업종전체,전라남도,보성군,"1,848","1,851",99.84%,"1,822",101.43%,,,,,,,,,
업종전체,전라남도,순천시,"13,398","13,357",100.31%,"12,868",104.12%,,,,,,,,,
업종전체,전라남도,신안군,"1,187","1,176",100.94%,"1,147",103.49%,,,,,,,,,
업종전체,전라남도,여수시,"14,413","14,406",100.05%,"14,009",102.88%,,,,,,,,,
업종전체,전라남도,영광군,"2,351","2,348",100.13%,"2,272",103.48%,,,,,,,,,
업종전체,전라남도,영암군,"2,091","2,081",100.48%,"2,069",101.06%,,,,,,,,,
업종전체,전라남도,완도군,"2,503","2,502",100.04%,"2,372",105.52%,,,,,,,,,
업종전체,전라남도,장성군,"1,584","1,578",100.38%,"1,530",103.53%,,,,,,,,,
업종전체,전라남도,장흥군,"1,686","1,674",100.72%,"1,672",100.84%,,,,,,,,,
업종전체,전라남도,진도군,"1,370","1,357",100.96%,"1,331",102.93%,,,,,,,,,
업종전체,전라남도,함평군,"1,032","1,027",100.49%,970,106.39%,,,,,,,,,
업종전체,전라남도,해남군,"2,981","2,974",100.24%,"2,917",102.19%,,,,,,,,,
업종전체,전라남도,화순군,"2,401","2,396",100.21%,"2,308",104.03%,,,,,,,,,
업종전체,대구광역시,합계,"113,030","112,725",100.27%,"109,048",103.65%,,,,,,,,,
업종전체,대구광역시,동구,"14,927","14,889",100.26%,"14,342",104.08%,,,,,,,,,
업종전체,대구광역시,중구,"11,766","11,741",100.21%,"11,610",101.34%,,,,,,,,,
업종전체,대구광역시,남구,"8,010","7,987",100.29%,"7,775",103.02%,,,,,,,,,
업종전체,대구광역시,서구,"8,336","8,316",100.24%,"8,338",99.98%,,,,,,,,,
업종전체,대구광역시,달서구,"23,285","23,274",100.05%,"22,397",103.96%,,,,,,,,,
업종전체,대구광역시,달성군,"9,216","9,189",100.29%,"8,579",107.43%,,,,,,,,,
업종전체,대구광역시,북구,"17,944","17,873",100.40%,"17,259",103.97%,,,,,,,,,
업종전체,대구광역시,수성구,"19,546","19,456",100.46%,"18,748",104.26%,,,,,,,,,
업종전체,경상북도,합계,"127,628","127,311",100.25%,"124,459",102.55%,,,,,,,,,
업종전체,경상북도,경산시,"11,789","11,731",100.49%,"11,321",104.13%,,,,,,,,,
업종전체,경상북도,경주시,"14,110","14,068",100.30%,"13,575",103.94%,,,,,,,,,
업종전체,경상북도,고령군,"1,296","1,292",100.31%,"1,276",101.57%,,,,,,,,,
업종전체,경상북도,구미시,"19,261","19,257",100.02%,"18,895",101.94%,,,,,,,,,
업종전체,경상북도,군위군,856,850,100.71%,834,102.64%,,,,,,,,,
업종전체,경상북도,김천시,"6,113","6,087",100.43%,"5,968",102.43%,,,,,,,,,
업종전체,경상북도,문경시,"3,766","3,757",100.24%,"3,708",101.56%,,,,,,,,,
업종전체,경상북도,봉화군,"1,352","1,359",99.48%,"1,345",100.52%,,,,,,,,,
업종전체,경상북도,상주시,"4,333","4,330",100.07%,"4,263",101.64%,,,,,,,,,
업종전체,경상북도,성주군,"1,938","1,936",100.10%,"1,867",103.80%,,,,,,,,,
업종전체,경상북도,안동시,"8,007","7,998",100.11%,"7,827",102.30%,,,,,,,,,
업종전체,경상북도,영덕군,"2,487","2,456",101.26%,"2,423",102.64%,,,,,,,,,
업종전체,경상북도,영양군,699,697,100.29%,727,96.15%,,,,,,,,,
업종전체,경상북도,영주시,"5,801","5,788",100.22%,"5,737",101.12%,,,,,,,,,
업종전체,경상북도,영천시,"4,323","4,300",100.53%,"4,230",102.20%,,,,,,,,,
업종전체,경상북도,예천군,"2,179","2,173",100.28%,"2,001",108.90%,,,,,,,,,
업종전체,경상북도,울릉군,705,702,100.43%,688,102.47%,,,,,,,,,
업종전체,경상북도,울진군,"2,868","2,865",100.10%,"2,804",102.28%,,,,,,,,,
업종전체,경상북도,의성군,"1,994","1,999",99.75%,"1,996",99.90%,,,,,,,,,
업종전체,경상북도,청도군,"2,026","2,018",100.40%,"1,916",105.74%,,,,,,,,,
업종전체,경상북도,청송군,"1,416","1,415",100.07%,"1,436",98.61%,,,,,,,,,
업종전체,경상북도,칠곡군,"5,521","5,511",100.18%,"5,441",101.47%,,,,,,,,,
업종전체,경상북도,포항시 남구,"11,539","11,507",100.28%,"11,222",102.82%,,,,,,,,,
업종전체,경상북도,포항시 북구,"13,249","13,215",100.26%,"12,959",102.24%,,,,,,,,,
업종전체,부산광역시,합계,"155,470","154,999",100.30%,"150,901",103.03%,,,,,,,,,
업종전체,부산광역시,동구,"5,789","5,764",100.43%,"5,663",102.22%,,,,,,,,,
업종전체,부산광역시,중구,"6,552","6,537",100.23%,"6,584",99.51%,,,,,,,,,
업종전체,부산광역시,강서구,"5,980","5,931",100.83%,"5,449",109.74%,,,,,,,,,
업종전체,부산광역시,남구,"10,780","10,773",100.06%,"10,276",104.90%,,,,,,,,,
업종전체,부산광역시,서구,"4,359","4,353",100.14%,"4,278",101.89%,,,,,,,,,
업종전체,부산광역시,금정구,"10,861","10,839",100.20%,"10,695",101.55%,,,,,,,,,
업종전체,부산광역시,기장군,"7,190","7,173",100.24%,"6,853",104.92%,,,,,,,,,
업종전체,부산광역시,동래구,"12,291","12,249",100.34%,"11,941",102.93%,,,,,,,,,
업종전체,부산광역시,부산진구,"19,459","19,356",100.53%,"18,942",102.73%,,,,,,,,,
업종전체,부산광역시,북구,"9,590","9,545",100.47%,"9,389",102.14%,,,,,,,,,
업종전체,부산광역시,사상구,"9,954","9,950",100.04%,"9,776",101.82%,,,,,,,,,
업종전체,부산광역시,사하구,"11,759","11,753",100.05%,"11,411",103.05%,,,,,,,,,
업종전체,부산광역시,수영구,"9,516","9,470",100.49%,"9,187",103.58%,,,,,,,,,
업종전체,부산광역시,연제구,"10,064","10,030",100.34%,"9,725",103.49%,,,,,,,,,
업종전체,부산광역시,영도구,"4,057","4,053",100.10%,"4,022",100.87%,,,,,,,,,
업종전체,부산광역시,해운대구,"17,269","17,223",100.27%,"16,710",103.35%,,,,,,,,,
업종전체,울산광역시,합계,"50,861","50,705",100.31%,"49,783",102.17%,,,,,,,,,
업종전체,울산광역시,동구,"6,335","6,327",100.13%,"6,297",100.60%,,,,,,,,,
업종전체,울산광역시,중구,"9,703","9,652",100.53%,"9,626",100.80%,,,,,,,,,
업종전체,울산광역시,남구,"18,484","18,467",100.09%,"18,220",101.45%,,,,,,,,,
업종전체,울산광역시,북구,"7,208","7,158",100.70%,"6,771",106.45%,,,,,,,,,
업종전체,울산광역시,울주군,"9,131","9,101",100.33%,"8,869",102.95%,,,,,,,,,
업종전체,경상남도,합계,"155,386","154,895",100.32%,"150,934",102.95%,,,,,,,,,
업종전체,경상남도,고성군,"2,356","2,357",99.96%,"2,322",101.46%,,,,,,,,,
업종전체,경상남도,거제시,"11,392","11,368",100.21%,"11,131",102.34%,,,,,,,,,
업종전체,경상남도,거창군,"2,918","2,911",100.24%,"2,850",102.39%,,,,,,,,,
업종전체,경상남도,김해시,"23,767","23,711",100.24%,"22,848",104.02%,,,,,,,,,
업종전체,경상남도,남해군,"2,381","2,384",99.87%,"2,269",104.94%,,,,,,,,,
업종전체,경상남도,밀양시,"4,920","4,918",100.04%,"4,827",101.93%,,,,,,,,,
업종전체,경상남도,사천시,"5,877","5,880",99.95%,"5,820",100.98%,,,,,,,,,
업종전체,경상남도,산청군,"1,718","1,715",100.17%,"1,675",102.57%,,,,,,,,,
업종전체,경상남도,양산시,"14,810","14,732",100.53%,"13,940",106.24%,,,,,,,,,
업종전체,경상남도,의령군,963,963,100.00%,938,102.67%,,,,,,,,,
업종전체,경상남도,진주시,"17,691","17,627",100.36%,"17,384",101.77%,,,,,,,,,
업종전체,경상남도,창녕군,"2,845","2,843",100.07%,"2,791",101.93%,,,,,,,,,
업종전체,경상남도,창원시 마산합포구,"9,319","9,296",100.25%,"9,172",101.60%,,,,,,,,,
업종전체,경상남도,창원시 마산회원구,"8,352","8,361",99.89%,"8,345",100.08%,,,,,,,,,
업종전체,경상남도,창원시 성산구,"10,193","10,137",100.55%,"9,938",102.57%,,,,,,,,,
업종전체,경상남도,창원시 의창구,"11,955","11,882",100.61%,"11,488",104.07%,,,,,,,,,
업종전체,경상남도,창원시 진해구,"7,977","7,920",100.72%,"7,551",105.64%,,,,,,,,,
업종전체,경상남도,통영시,"7,302","7,264",100.52%,"7,178",101.73%,,,,,,,,,
업종전체,경상남도,하동군,"2,337","2,328",100.39%,"2,281",102.46%,,,,,,,,,
업종전체,경상남도,함안군,"2,757","2,762",99.82%,"2,694",102.34%,,,,,,,,,
업종전체,경상남도,함양군,"1,822","1,812",100.55%,"1,798",101.33%,,,,,,,,,
업종전체,경상남도,합천군,"1,734","1,724",100.58%,"1,694",102.36%,,,,,,,,,
업종전체,제주특별자치도,합계,"43,109","42,635",101.11%,"40,217",107.19%,,,,,,,,,
업종전체,제주특별자치도,서귀포시,"11,840","11,726",100.97%,"10,996",107.68%,,,,,,,,,
업종전체,제주특별자치도,제주시,"31,269","30,909",101.16%,"29,221",107.01%,,,,,,,,,
가구점,합계,합계,"7,478","7,496",99.76%,"7,556",98.97%,,,,,,,,,
가구점,서울특별시,합계,"1,022","1,028",99.42%,"1,036",98.65%,,,,,,,,,
가구점,서울특별시,종로구,16,16,100.00%,14,114.29%,,,,,,,,,
가구점,서울특별시,중구,70,71,98.59%,71,98.59%,,,,,,,,,
가구점,서울특별시,용산구,38,37,102.70%,39,97.44%,,,,,,,,,
가구점,서울특별시,성동구,18,17,105.88%,14,128.57%,,,,,,,,,
가구점,서울특별시,광진구,49,49,100.00%,55,89.09%,,,,,,,,,
가구점,서울특별시,동대문구,32,33,96.97%,32,100.00%,,,,,,,,,
가구점,서울특별시,중랑구,28,28,100.00%,30,93.33%,,,,,,,,,
가구점,서울특별시,성북구,38,38,100.00%,36,105.56%,,,,,,,,,
가구점,서울특별시,강북구,30,30,100.00%,30,100.00%,,,,,,,,,
가구점,서울특별시,도봉구,22,22,100.00%,21,104.76%,,,,,,,,,
가구점,서울특별시,노원구,45,45,100.00%,44,102.27%,,,,,,,,,
