사업자 현황 ( 1월/100대 생활업종),,,,,,,,
*조회년월,,2020년 1월,,,,,,
,,,,,,,,
,,,,,,,"(단위 : 인원수, %)",
구분,,, 사업자 수,,,,,
업종,시도,시군구,당월①,전월②,증감율(①/②),전년동월③,증감율(①/③),
 업종전체,경기도,화성시," 31,666 "," 31,281 ",101.23%," 28,065 ",112.83%,
 업종전체,경기도,광주시," 14,811 "," 14,724 ",100.59%," 13,560 ",109.23%,
 업종전체,경기도,양주시," 9,245 "," 9,183 ",100.68%," 8,397 ",110.10%,
 업종전체,경기도,포천시," 8,347 "," 8,317 ",100.36%," 8,063 ",103.52%,
 업종전체,경기도,여주시," 5,283 "," 5,267 ",100.30%," 5,232 ",100.97%,
 업종전체,경기도,연천군," 2,164 "," 2,157 ",100.32%," 2,129 ",101.64%,
 업종전체,경기도,가평군," 4,704 "," 4,688 ",100.34%," 4,526 ",103.93%,
 업종전체,경기도,양평군," 5,960 "," 5,938 ",100.37%," 5,642 ",105.64%,
 업종전체,강원도,합계," 85,671 "," 85,423 ",100.29%," 82,825 ",103.44%,
 업종전체,강원도,춘천시," 14,189 "," 14,136 ",100.37%," 13,758 ",103.13%,
 업종전체,강원도,원주시," 18,027 "," 17,967 ",100.33%," 17,182 ",104.92%,
 업종전체,강원도,강릉시," 12,688 "," 12,618 ",100.55%," 12,068 ",105.14%,
 업종전체,강원도,동해시," 4,882 "," 4,840 ",100.87%," 4,764 ",102.48%,
 업종전체,강원도,태백시," 2,322 "," 2,313 ",100.39%," 2,269 ",102.34%,
 업종전체,강원도,속초시," 5,749 "," 5,735 ",100.24%," 5,582 ",102.99%,
 업종전체,강원도,삼척시," 3,514 "," 3,526 ",99.66%," 3,381 ",103.93%,
 업종전체,강원도,홍천군," 3,903 "," 3,910 ",99.82%," 3,816 ",102.28%,
 업종전체,강원도,횡성군," 2,250 "," 2,248 ",100.09%," 2,197 ",102.41%,
 업종전체,강원도,영월군," 2,083 "," 2,083 ",100.00%," 2,069 ",100.68%,
 업종전체,강원도,평창군," 2,897 "," 2,889 ",100.28%," 2,854 ",101.51%,
 업종전체,강원도,정선군," 2,346 "," 2,352 ",99.74%," 2,353 ",99.70%,
 업종전체,강원도,철원군," 2,359 "," 2,364 ",99.79%," 2,323 ",101.55%,
 업종전체,강원도,화천군," 1,336 "," 1,320 ",101.21%," 1,302 ",102.61%,
