year,month,city,corp,0
2019,1,경상북도,실내장식가게,1640
2019,1,경상북도,실외골프연습장,201
2019,1,경상북도,안경점,424
2019,1,경상북도,안과 의원,69
2019,1,경상북도,애완용품점,394
2019,1,경상북도,약국,1105
2019,1,경상북도,여관ㆍ모텔,1973
2019,1,경상북도,여행사,453
2019,1,경상북도,예술학원,1382
2019,1,경상북도,예식장,69
2019,1,경상북도,옷가게,4702
2019,1,경상북도,의료용품가게,255
2019,1,경상북도,이륜자동차판매점,206
2019,1,경상북도,이발소,872
2019,1,경상북도,이비인후과 의원,87
2019,1,경상북도,일반외과 의원,239
2019,1,경상북도,일식전문점,522
2019,1,경상북도,자동차수리점,2989
2019,1,경상북도,자전거판매점,170
2019,1,경상북도,장난감가게,104
2019,1,경상북도,정육점,1232
2019,1,경상북도,제과점,854
2019,1,경상북도,종합병원,233
2019,1,경상북도,주유소,1210
2019,1,경상북도,주차장운영업,234
2019,1,경상북도,중고차판매점,336
2019,1,경상북도,중식전문점,1447
2019,1,경상북도,채소가게,919
2019,1,경상북도,철물점,486
2019,1,경상북도,치과병원ㆍ의원,673
2019,1,경상북도,침구ㆍ커튼가게,678
2019,1,경상북도,커피음료점,3728
2019,1,경상북도,컴퓨터판매점,323
2019,1,경상북도,통신판매업,7029
2019,1,경상북도,패스트푸드점,2189
2019,1,경상북도,펜션ㆍ게스트하우스,997
2019,1,경상북도,편의점,1808
2019,1,경상북도,피부ㆍ비뇨기과 의원,98
2019,1,경상북도,피부관리업,1390
2019,1,경상북도,피시방,593
2019,1,경상북도,한방병원ㆍ한의원,635
2019,1,경상북도,한식전문점,29086
2019,1,경상북도,헬스클럽,343
2019,1,경상북도,호프전문점,1068
2019,1,경상북도,화장품가게,1871
2019,1,경상북도,휴대폰가게,1086
2019,1,광주광역시,B. 업종전체,67965
2019,1,광주광역시,가구점,214
2019,1,광주광역시,가스충전소,41
2019,1,광주광역시,가전제품수리점,393
2019,1,광주광역시,가전제품판매점,339
2019,1,광주광역시,간이주점,188
2019,1,광주광역시,간판광고물업,443
2019,1,광주광역시,감정평가사,32
2019,1,광주광역시,건강보조식품가게,397
2019,1,광주광역시,건어물가게,167
2019,1,광주광역시,건축사,227
2019,1,광주광역시,결혼상담소,72
2019,1,광주광역시,곡물가게,109
2019,1,광주광역시,공부방,656
2019,1,광주광역시,공인노무사,22
2019,1,광주광역시,공인회계사,35
2019,1,광주광역시,과일가게,284
2019,1,광주광역시,교습학원,2410
2019,1,광주광역시,구내식당,415
2019,1,광주광역시,기술및직업훈련학원,472
2019,1,광주광역시,기술사,33
2019,1,광주광역시,기타 일반의원,123
2019,1,광주광역시,기타외국식전문점,358
2019,1,광주광역시,기타음식점,1049
2019,1,광주광역시,꽃가게,733
2019,1,광주광역시,내과ㆍ소아과 의원,330
2019,1,광주광역시,노래방,1102
2019,1,광주광역시,담배가게,325
2019,1,광주광역시,당구장,479
2019,1,광주광역시,독서실,370
2019,1,광주광역시,동물병원,99
2019,1,광주광역시,목욕탕,187
2019,1,광주광역시,문구점,290
2019,1,광주광역시,미용실,3111
2019,1,광주광역시,법무사,222
2019,1,광주광역시,변리사,11
2019,1,광주광역시,변호사,210
2019,1,광주광역시,부동산중개업,3889
2019,1,광주광역시,분식점,1697
2019,1,광주광역시,사진촬영업,385
2019,1,광주광역시,산부인과 의원,52
2019,1,광주광역시,생선가게,318
2019,1,광주광역시,서점,266
2019,1,광주광역시,성형외과 의원,46
2019,1,광주광역시,세무사,303
2019,1,광주광역시,세탁소,827
2019,1,광주광역시,슈퍼마켓,875
2019,1,광주광역시,스포츠교육기관,866
2019,1,광주광역시,스포츠시설운영업,202
2019,1,광주광역시,스포츠용품점,434
2019,1,광주광역시,시계ㆍ귀금속점,258
2019,1,광주광역시,식료품가게,1477
2019,1,광주광역시,신경정신과 의원,47
2019,1,광주광역시,신발가게,215
2019,1,광주광역시,실내스크린골프점,111
2019,1,광주광역시,실내장식가게,1862
2019,1,광주광역시,실외골프연습장,46
2019,1,광주광역시,안경점,346
2019,1,광주광역시,안과 의원,40
2019,1,광주광역시,애완용품점,201
2019,1,광주광역시,약국,671
2019,1,광주광역시,여관ㆍ모텔,527
2019,1,광주광역시,여행사,397
2019,1,광주광역시,예술학원,1083
2019,1,광주광역시,예식장,30
2019,1,광주광역시,옷가게,3159
2019,1,광주광역시,의료용품가게,318
2019,1,광주광역시,이륜자동차판매점,65
2019,1,광주광역시,이발소,260
2019,1,광주광역시,이비인후과 의원,75
2019,1,광주광역시,일반외과 의원,95
2019,1,광주광역시,일식전문점,260
2019,1,광주광역시,자동차수리점,1501
2019,1,광주광역시,자전거판매점,64
2019,1,광주광역시,장난감가게,56
2019,1,광주광역시,정육점,512
2019,1,광주광역시,제과점,462
2019,1,광주광역시,종합병원,162
2019,1,광주광역시,주유소,267
2019,1,광주광역시,주차장운영업,246
2019,1,광주광역시,중고차판매점,233
2019,1,광주광역시,중식전문점,488
2019,1,광주광역시,채소가게,211
2019,1,광주광역시,철물점,290
2019,1,광주광역시,치과병원ㆍ의원,631
2019,1,광주광역시,침구ㆍ커튼가게,400
2019,1,광주광역시,커피음료점,1198
